name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
Liberty,human-rights tech,"Liberty is a UK civil liberties organisation. It campaigns and takes legal cases on rights issues, including those raised by surveillance and the use of personal data.",national,https://www.libertyhumanrights.org.uk,,,,,,civil liberties; human rights; litigation; campaigning,,libertyhumanrights.org.uk homepage (verified 2026-09-23),,,,2026-09-23
LocalGov Digital,govtech,"LocalGov Digital is a network for digital practitioners working in and around local government, providing a place for councils to share work on common problems.",national,https://localgov.digital,,,,,,local government; govtech; network; councils,,localgov.digital homepage (verified 2026-09-23),,,,2026-09-23
mySociety,civic-tech,"mySociety provides technology, research, and data that help people take part in civic life. Its tools, among them FixMyStreet and TheyWorkForYou, are used in more than 40 countries.",national,https://www.mysociety.org,,,,,,civic tech; democracy; research; open source,,mysociety.org homepage (verified 2026-09-23),,,,2026-09-23
Office for National Statistics,open-data,"The Office for National Statistics is the UK's national statistical institute and its largest independent producer of official statistics. It publishes data on the population, the economy, and society.",national,https://www.ons.gov.uk,,,,,,official statistics; open data; government; population,,ons.gov.uk homepage (verified 2026-09-23),,,,2026-09-23
Open Climate Fix,green / climate-tech,"Open Climate Fix builds open forecasting tools, mostly using machine learning, to help electricity grids plan around renewable generation and cut carbon emissions.",national,https://openclimatefix.org,,,,,,climate; machine learning; forecasting; energy,,openclimatefix.org homepage (verified 2026-09-23),,,,2026-09-23
Open Data Institute,open-data,"The Open Data Institute is a London-based non-profit founded in 2012 by Tim Berners-Lee and Nigel Shadbolt. It researches how data is collected and used, and advises organisations on doing that openly and accountably.",london,https://theodi.org,,,,,,open data; research; policy; data ethics,,theodi.org homepage (verified 2026-09-23),2012,,,2026-09-23
Open Data Manchester,open-data,"Open Data Manchester helps people, organisations, and communities use data better, through advice, advocacy, events, research, and training.",north-west,https://www.opendatamanchester.org.uk,,,,,,open data; training; community; greater manchester,,opendatamanchester.org.uk homepage (verified 2026-09-23),,,,2026-09-23
Open Innovations,open-data,Open Innovations is a not-for-profit in Leeds that works in the open with sponsors and partners to turn open data into tools and evidence for better decisions.,yorkshire-and-the-humber,https://open-innovations.org,,,,,,open data; leeds; visualisation; innovation,,"open-innovations.org homepage, reached from odileeds.org (verified 2026-09-23)",,,,2026-09-23
Open Rights Group,human-rights tech,"Open Rights Group is a UK campaigning organisation working on digital rights. It focuses on privacy and free speech online, and on how data and technology affect people's rights.",national,https://www.openrightsgroup.org,,,,,,digital rights; privacy; free speech; campaigning,,openrightsgroup.org homepage (verified 2026-09-23),,,,2026-09-23
OpenSAFELY,research / education tech,"OpenSAFELY is a platform for analysing large, sensitive datasets safely and securely. It is built by a team at the Bennett Institute so that approved researchers can work with NHS data under tight controls.",national,https://www.opensafely.org,,,,,,health data; research; privacy; open source,,opensafely.org homepage (verified 2026-09-23),,,,2026-09-23
OpenUK,open-data,"OpenUK is a not-for-profit and the UK body for the business of open technology, covering open source software, open hardware, open data, and open standards.",national,https://openuk.uk,,,,,,open source; open standards; open data; advocacy,,openuk.uk homepage (verified 2026-09-23),,,,2026-09-23
Privacy International,human-rights tech,"Privacy International is a charity based in London that works on the intersection of modern technology and human rights, with a focus on surveillance and the exploitation of personal data.",london,https://privacyinternational.org,,,,,,privacy; surveillance; human rights; research,,privacyinternational.org homepage (verified 2026-09-23),,,,2026-09-23
Raspberry Pi Foundation,education equity tech,The Raspberry Pi Foundation is a charity with a mission to help young people realise their potential through computing and digital technologies. It publishes free learning resources and supports clubs and teachers.,national,https://www.raspberrypi.org,,,,,,computing; education; young people; charity,,raspberrypi.org homepage (verified 2026-09-23),,,,2026-09-23
RNIB,disability & accessibility tech,"The Royal National Institute of Blind People supports blind and partially sighted people across the UK. It advises on assistive and accessible technology, and campaigns for accessible products and services.",national,https://www.rnib.org.uk,,,,,,accessibility; blindness; assistive technology; charity,,rnib.org.uk homepage (verified 2026-09-23),,,,2026-09-23
Scope,disability & accessibility tech,"Scope is a disability equality charity in England and Wales. It provides practical information and campaigns on the barriers disabled people face, including in digital services.",national,https://www.scope.org.uk,,,,,,disability; equality; accessibility; charity,,scope.org.uk homepage (verified 2026-09-23),,,,2026-09-23
Shelter England,housing / homelessness tech,"Shelter is a housing and homelessness charity in England. It advises people and families on their housing rights, challenges unfair housing practice, and campaigns for better housing policy.",national,https://england.shelter.org.uk,,,,,,housing; homelessness; advice; campaigning,,england.shelter.org.uk homepage (verified 2026-09-23),,,,2026-09-23
The Restart Project,green / climate-tech,"The Restart Project helps people use their electronics for longer, which keeps working devices out of waste. It supports community repair events and campaigns for the right to repair.",national,https://therestartproject.org,,,,,,right to repair; electronics; waste; community,,therestartproject.org homepage (verified 2026-09-23),,,,2026-09-23
TheyWorkForYou,civic-tech,"TheyWorkForYou, run by mySociety, makes the UK's parliaments easier to follow. You can look up who represents you and see how they have voted and what they have said in debates.",national,https://www.theyworkforyou.com,,,,,,parliament; transparency; civic tech; hansard,mySociety,theyworkforyou.com homepage (verified 2026-09-23),,,,2026-09-23
Turn2us,financial-inclusion / fintech-for-good,Turn2us is a charity that helps people facing financial insecurity. It runs online tools to check benefit entitlement and to search for charitable grants.,national,https://www.turn2us.org.uk,,,,,,financial insecurity; benefits; grants; charity,,turn2us.org.uk homepage (verified 2026-09-23),,,,2026-09-23
